"q","alfa","образец","Kq","ro пара","ню жидк","r","lo","g","ro жидк","сигма","высота h","зазор D","зазор u","толщина d","толщина s","угол","угол/90","h/lo","D/lo","d/lo","u/lo","s/lo","жидкость","алфа Кутател","а/а гл","ср ж","лямбда ж","Pr","cp пара","лямбда п","ню пара","а ж","Р","алфа  Лабунцов","Ts","alf/alf0","алфа Боришан","Ткр","Ркр","алф/алф0","М",""
"986.08696","456.90867","гладкая","6.1992149899995","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","291.09983204457","1.5695944129918","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","331.73241595763","373","1.3773410375981","399.74832617997","647","21830000","1.1429908271693","18",""
"1982.6087","624.18235","гладкая","12.464030121992","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","474.64314082733","1.3150560838444","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","528.44822018739","373","1.1811608520106","636.79725384351","647","21830000","0.98019007813339","18",""
"8326.95652","1286.55394","гладкая","52.348926386632","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","1296.1095533339","0.99262746477775","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","1375.6310368617","373","0.93524637459115","1657.6800396164","647","21830000","0.77611716932884","18",""
"5773.91304","1474.79575","гладкая","36.298754288893","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","1003.0682200193","1.4702845933765","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","1077.6835662901","373","1.3684868138771","1298.6436689718","647","21830000","1.1356431215405","18",""
"11496.52174","2092.21941","гладкая","72.274974514888","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","1624.4181349201","1.2879808252713","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","1705.6453885317","373","1.2266438405471","2055.3580425774","647","21830000","1.0179342803828","18",""
"15064.59627","2305.09852","гладкая","94.706323887778","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","1962.7796736642","1.1744051311152","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","2042.4405890716","373","1.1286000348474","2461.2071884699","647","21830000","0.93657231735661","18",""
"23863.35404","2979.59138","гладкая","150.0213146277","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","2708.4033545514","1.1001283745247","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","2775.4415831369","373","1.0735557895016","3344.4971727181","647","21830000","0.89089367582825","18",""
"34119.13043","3931.09644","гладкая","214.49611787525","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","3478.5629877212","1.1300920678671","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","3522.4356713086","373","1.1160165314075","4244.6492894504","647","21830000","0.92612985712866","18",""
"54270.80745","5702.53276","гладкая","341.18329996314","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","4813.9070683849","1.1845955227202","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","4799.7869052637","373","1.18808040285","5783.8989773154","647","21830000","0.98593228933726","18",""
"72437.26708","7253.77451","гладкая","455.39005192497","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","5892.1628784813","1.231088593374","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","5818.6085265926","373","1.2466510638838","7011.6120924974","647","21830000","1.0345373381054","18",""
"98427.32919","9790.17382","гладкая","618.78130356806","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","7302.6804018608","1.3406274520114","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","7138.192159938","373","1.3715200712788","8601.7531920988","647","21830000","1.1381602798128","18",""
"134631.0559","12959.58831","гладкая","846.382615033","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","9092.9118355463","1.4252407308446","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","8795.7849453293","373","1.4733862174384","10599.206288551","647","21830000","1.2226942241891","18",""
"186852.17391","17869.21874","гладкая","1174.6801696038","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","11437.997896049","1.5622680562105","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","10944.011425543","373","1.6327850954444","13187.888908674","647","21830000","1.3549718885065","18",""
"246705.59006","20922.38916","гладкая","1550.9595543345","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","13893.977684105","1.5058602824686","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","13171.354173246","373","1.5884766960786","15871.909198501","647","21830000","1.3182024228047","18",""
"295975.15528","23320.8418","гладкая","1860.7016355629","0.598","2.95E-7","2256800","0.0025028669031172","9.81","958.4","0.05886","0","0","","0","","0","0","0","0","0","","","вода","15782.652115255","1.4776250296652","4220","0.683","1.75","2135","0.02372","2.0E-5","1.69E-7","101,325","14871.265908881","373","1.5681813466918","17920.358003276","647","21830000","1.3013602627658","18",""
"21000","1800","гладкая","38.026518339075","1.85","5.37E-7","800000","0.0014379442108226","9.81","766","0.0155","","","","","","","","","","","","","этанол","1058.0550542777","1.7012347256625","1690","0.173","4.00","","","","1.3363820353176E-7","101,325","1463.0994948752","351.5","1.2302649316091","2441.3256602302","516.3","6300000","0.73730433809896","46",""
"52500","3700","гладкая","95.066295847687","1.85","5.37E-7","800000","0.0014379442108226","9.81","766","0.0155","","","","","","","","","","","","","этанол","2009.3994183339","1.8413462083451","1690","0.173","4.00","","","","1.3363820353176E-7","101,325","2695.0523123825","351.5","1.3728861525248","4496.9603153635","516.3","6300000","0.82277799680804","46",""
"82000","5400","гладкая","148.48450018115","1.85","5.37E-7","800000","0.0014379442108226","9.81","766","0.0155","","","","","","","","","","","","","этанол","2745.5190187028","1.96684122864","1690","0.173","4.00","","","","1.3363820353176E-7","101,325","3628.0246750796","351.5","1.4884132506297","6053.716624361","516.3","6300000","0.89201400314472","46",""
"150000","9100","гладкая","271.61798813625","1.85","5.37E-7","800000","0.0014379442108226","9.81","766","0.0155","","","","","","","","","","","","","этанол","4190.0445558109","2.1718146140904","1690","0.173","4.00","","","","1.3363820353176E-7","101,325","5426.5253554005","351.5","1.6769478448937","9054.6922081735","516.3","6300000","1.0050037914912","46",""
"290000","15000","гладкая","525.12811039675","1.85","5.37E-7","800000","0.0014379442108226","9.81","766","0.0155","","","","","","","","","","","","","этанол","6647.1175391567","2.2566172347094","1690","0.173","4.00","","","","1.3363820353176E-7","101,325","8421.5687001332","351.5","1.7811408460947","14052.217117866","516.3","6300000","1.0674472130756","46",""
"420000","20000","гладкая","760.5303667815","1.85","5.37E-7","800000","0.0014379442108226","9.81","766","0.0155","","","","","","","","","","","","","этанол","8614.4838888246","2.3216712989557","1690","0.173","4.00","","","","1.3363820353176E-7","101,325","10780.20924953","351.5","1.855251557466","17987.841261454","516.3","6300000","1.1118621578487","46",""
