,q,alfa,sample,Kq,lo,height_h,gap_D,gap_u,thickness_d,thickness_s,angle,angle/90,h/lo,D/lo,d/lo,u/lo,s/lo,liquid,a/a_smooth_Kut,Pr,P,Ts,a/a_smooth_Lab,T_krit,P_krit,a/a_smooth_Bor
0,5906.9697,6628.7576899999995,10,37.135239177803,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,6.5039249304663,1.75,"101,325",373.0,6.0582131229802,647.0,21830000,5.0274273688082
1,12600.0,14268.56659,10,79.212191259474,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,8.2379596601325,1.75,"101,325",373.0,7.8696523705515995,647.0,21830000,6.5306559719138
2,30894.54545,27433.537910000003,10,194.22417802063,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,8.4540195610893,1.75,"101,325",373.0,8.3211403034648,647.0,21830000,6.9053246645692
3,68888.48485,51230.63312,10,433.07998710425005,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,9.005872126288699,1.75,"101,325",373.0,9.1044601628075,647.0,21830000,7.5553651335076
4,108847.27273,67648.02664,10,684.28817345722,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,8.633393622614,1.75,"101,325",373.0,8.8620119218335,647.0,21830000,7.3541686920075
5,182431.81818,78697.10262,10,1146.8907994832,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,6.9965997288712005,1.75,"101,325",373.0,7.3065761990402995,647.0,21830000,6.0633854256464
6,226998.48485,78495.65415,10,1427.0672537737,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,5.9886404347897,1.75,"101,325",373.0,6.2996903976412,647.0,21830000,5.2278180508347
7,325265.15151999996,86481.25163,10,2044.838523194,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,5.129256144661099,1.75,"101,325",373.0,5.460752684913301,647.0,21830000,4.5316229299178
8,354293.33333,91219.75032,10,2227.329466801,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,5.0960477545472,1.75,"101,325",373.0,5.440879711009001,647.0,21830000,4.5151312795123
9,436180.90909,114571.74927999999,10,2742.1306027435003,0.0025028669031172,420.0,180.0,140.0,170.0,178.0,90.0,1.0,0.16780756478776998,0.071917527766185,0.06792210955695299,0.05593585492925499,0.07111844412433901,вода,5.533623191076501,1.75,"101,325",373.0,5.9491557721346995,647.0,21830000,4.9369257804223
