,q,sample,Kq,angle/90,h/lo,D/lo,d/lo,liquid,a/a_smooth_Kut,Pr,P,a/a_smooth_Lab,a/a_smooth_Bor
0,57142.86,5,359.23898058995,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.96086807954464,1.75,101325,3.61830059418698,3.002658220588
1,72321.43,5,454.661821057039,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.78537763439373,1.75,101325,3.43067705018585,2.84695822770297
2,89285.71,5,561.31085216333,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.59358212322718,1.75,101325,3.21696440599982,2.66960811230909
3,108035.71,5,679.186136775643,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.56191167865239,1.75,101325,3.19793710127393,2.65381824315267
4,128571.43,5,808.287674893978,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.49029659551892,1.75,101325,3.12662702280246,2.59464134843112
5,150892.86,5,948.615403651515,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.39076045529148,1.75,101325,3.01771721106877,2.50426219584489
6,175000.0,5,1100.16932304825,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.24506598599715,1.75,101325,2.84785079207114,2.36329800944631
7,200892.86,5,1262.94949595102,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.28188877481829,1.75,101325,2.90790451495952,2.41313378179684
8,228571.43,5,1436.95585949298,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.15780894876036,1.75,101325,2.76164112329815,2.29175664247109
9,258035.71,5,1622.18841367415,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.52260703541985,1.75,101325,2.66499132153304,2.21155149802995
10,289285.71,5,1818.64722136134,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.48086793668847,1.75,101325,2.63090246767754,2.18326275457285
11,322321.43,5,2026.33228255455,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.4413293544579,1.75,101325,2.59832146956908,2.15622530998836
12,357142.86,5,2245.24353438696,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.42574734681061,1.75,101325,2.59058094542375,2.14980181148358
13,393750.0,5,2475.38097685857,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.36816424950037,1.75,101325,2.53732467080244,2.10560692313005
14,432142.86,5,2716.74467283621,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.35375081237162,1.75,101325,2.52971500644002,2.09929201903103
15,472321.43,5,2969.33455945305,0.966666666666667,0.0379564729877088,0.0059931273138487,0.0099885455230812,вода,2.41737285594437,1.75,101325,2.6058041153076,2.16243480727961
16,34321.43,6,215.767910909418,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,2.68705778515273,1.75,101325,2.6541128698063,2.20252398037234
17,43750.0,6,275.042330762064,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,2.44156886082171,1.75,101325,2.43122479000409,2.01755960063993
18,57142.86,6,359.23898058995,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,2.0732913243407,1.75,101325,2.0829680038757,1.72855760245771
19,72321.43,6,454.661821057039,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.96021771176449,1.75,101325,1.98489137780152,1.64716840333968
20,89285.71,6,561.31085216333,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.86599350776879,1.75,101325,1.90279965057924,1.57904432321703
21,108035.71,6,679.186136775643,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.78583153696948,1.75,101325,1.83266436435384,1.52084233356578
22,128571.43,6,808.287674893978,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.71649255644089,1.75,101325,1.77175476582226,1.47029631009901
23,150892.86,6,948.615403651515,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.65570253013302,1.75,101325,1.71815156287985,1.42581352217822
24,175000.0,6,1100.16932304825,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.60180671795505,1.75,101325,1.67045551663806,1.3862328069752
25,200892.86,6,1262.94949595102,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.66950657245155,1.75,101325,1.74908327040735,1.45148229774471
26,228571.43,6,1436.95585949298,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.73542249565834,1.75,101325,1.82598059112192,1.5152957831571
27,258035.71,6,1622.18841367415,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.60774133482488,1.75,101325,1.69848757433007,1.40949529893182
28,289285.71,6,1818.64722136134,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.65281637727379,1.75,101325,1.75277314091609,1.45454434848582
29,322321.43,6,2026.33228255455,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.68499586702055,1.75,101325,1.79335120409709,1.48821818287695
30,357142.86,6,2245.24353438696,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.64112296906005,1.75,101325,1.75264002590132,1.45443388256875
31,393750.0,6,2475.38097685857,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.61988021674508,1.75,101325,1.73558993577377,1.44028481121588
32,432142.86,6,2716.74467283621,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.6366778384576,1.75,101325,1.75903433230565,1.45974021801273
33,472321.43,6,2969.33455945305,0.966666666666667,0.123857964486208,0.0251711347181648,0.0387555566295553,вода,1.64271479433758,1.75,101325,1.770762404664,1.46947279604537
